active_days,avg_session_minutes,avg_time_per_question,avg_topic_mastery,hard_accuracy_percent,hidden_ability,max_streak,original_profile_target_grade,original_profile_target_score,overall_accuracy,overall_accuracy_percent,paper1_accuracy,paper1_accuracy_percent,paper2_accuracy,paper2_accuracy_percent,persona,recent_accuracy,recent_accuracy_percent,score_ratio_percent,strong_topic_count,study_consistency_score,synthetic_student_index,target_grade,target_score,total_questions_attempted,total_sessions,total_study_minutes,user_id,weak_topic_count
21,12.12,110.71,42.66,30.56,0.6346,3,C+,56.23,0.3631,36.31,0.4146,41.46,0.1765,17.65,Deep Focus Learner,0.35,35.0,42.97,3,30,884,D,45.97,157,28,339.45,15646,10
16,9.24,80.58,71.23,57.14,0.7615,2,A-,73.34,0.6923,69.23,0.7021,70.21,0.6,60.0,Deep Focus Learner,0.7,70.0,73.03,4,24,885,A-,72.37,104,19,175.57,15647,1
28,11.02,91.62,34.68,18.18,0.485,3,E,43.98,0.2804,28.04,0.2824,28.24,0.2632,26.32,Flexible Learner,0.45,45.0,32.14,0,42,886,G,31.61,189,32,352.78,15648,9
45,15.29,157.02,60.84,38.85,0.7561,5,A,80.83,0.5528,55.28,0.6323,63.23,0.504,50.4,Consistent Climber,0.6,60.0,72.58,1,98,887,A-,79.23,407,79,1208.28,15649,3
33,11.02,124.68,38.15,18.75,0.5773,4,D,49.76,0.3234,32.34,0.3804,38.04,0.2533,25.33,Deep Focus Learner,0.35,35.0,45.9,1,100,888,C+,56.57,167,38,418.75,15650,9
25,12.14,125.88,23.96,7.55,0.4541,3,E,41.25,0.2366,23.66,0.2761,27.61,0.1778,17.78,Weekend Learner,0.25,25.0,29.23,0,66,889,G,34.6,224,46,558.55,15651,14
45,8.93,87.24,61.82,56.92,0.7637,4,A-,79.93,0.6223,62.23,0.6407,64.07,0.5319,53.19,Consistent Climber,0.5,50.0,70.21,1,82,890,A-,75.94,278,58,518.1,15652,1
22,9.62,91.25,51.01,35.9,0.663,3,B,60.79,0.4529,45.29,0.4583,45.83,0.4231,42.31,Deep Focus Learner,0.5,50.0,51.13,3,66,891,B,60.48,170,33,317.53,15653,9
27,12.33,102.78,48.08,37.5,0.733,3,B+,67.4,0.4466,44.66,0.473,47.3,0.3793,37.93,Flexible Learner,0.4,40.0,54.39,1,42,892,C+,55.62,206,34,419.12,15654,10
40,12.35,116.01,57.0,41.9,0.7155,5,A-,71.04,0.5242,52.42,0.5647,56.47,0.4286,42.86,Consistent Climber,0.45,45.0,58.61,2,46,893,B,61.85,330,62,765.52,15655,4
44,13.28,135.15,49.07,25.45,0.6134,5,B,63.08,0.4312,43.12,0.4977,49.77,0.3376,33.76,Consistent Climber,0.55,55.0,54.0,1,66,894,C+,58.79,378,74,982.83,15656,6
8,12.64,123.53,26.9,14.29,0.489,2,G,37.86,0.3023,30.23,0.3448,34.48,0.2143,21.43,Fresh Starter,0.35,35.0,41.75,0,12,895,G,34.95,43,8,101.15,15657,5
33,12.86,123.9,56.17,41.18,0.7382,3,B+,69.16,0.5172,51.72,0.5786,57.86,0.381,38.1,Deep Focus Learner,0.45,45.0,63.08,2,30,896,B,61.51,203,38,488.57,15658,6
38,14.36,134.93,52.98,33.73,0.679,5,B+,66.03,0.4817,48.17,0.5249,52.49,0.4167,41.67,Flexible Learner,0.6,60.0,57.69,1,90,897,B+,69.08,301,54,775.35,15659,5
22,10.54,93.16,55.96,32.76,0.6856,2,B+,65.96,0.4664,46.64,0.4851,48.51,0.3611,36.11,Weekend Learner,0.4,40.0,49.72,3,90,898,B+,65.47,238,43,453.35,15660,6
49,9.95,98.34,51.9,24.42,0.6244,5,B,63.06,0.4692,46.92,0.4856,48.56,0.4026,40.26,Consistent Climber,0.45,45.0,53.73,1,94,899,B+,68.31,390,78,776.18,15661,8
37,8.93,86.2,70.09,56.0,0.8329,5,A,84.85,0.6811,68.11,0.6988,69.88,0.5714,57.14,Consistent Climber,0.8,80.0,71.94,5,30,900,A-,73.85,301,61,544.52,15662,1
34,11.21,103.2,68.19,31.25,0.8242,4,A,82.7,0.5543,55.43,0.5762,57.62,0.4583,45.83,Consistent Climber,0.55,55.0,63.0,5,98,901,A-,79.11,258,48,538.18,15663,2
43,12.8,123.19,43.65,13.54,0.6157,5,B,60.83,0.3595,35.95,0.4111,41.11,0.2667,26.67,Consistent Climber,0.25,25.0,42.76,2,98,902,C+,56.8,420,79,1011.55,15664,9
18,12.91,156.31,40.74,20.69,0.5852,2,C,54.78,0.4,40.0,0.3864,38.64,0.4079,40.79,Weekend Learner,0.3,30.0,60.21,0,27,903,C,54.36,120,28,361.6,15665,7
34,15.55,165.68,47.0,22.78,0.674,3,B+,67.72,0.3778,37.78,0.4787,47.87,0.3053,30.53,Consistent Climber,0.6,60.0,51.8,2,82,904,B,62.03,225,45,699.95,15666,7
25,12.17,125.84,30.32,14.29,0.5237,2,D,46.57,0.272,27.2,0.2791,27.91,0.2636,26.36,Weekend Learner,0.35,35.0,37.58,0,66,905,E,44.71,239,48,584.08,15667,12
39,20.66,202.21,62.32,44.44,0.861,3,A,88.4,0.5704,57.04,0.7143,71.43,0.5169,51.69,High Achiever,0.45,45.0,78.9,3,86,906,A,82.85,284,51,1053.7,15668,4
43,14.6,149.25,49.47,33.93,0.722,4,B+,69.34,0.4857,48.57,0.5714,57.14,0.4082,40.82,Flexible Learner,0.6,60.0,60.81,2,78,907,B+,68.46,280,55,802.87,15669,7
19,8.86,80.43,32.05,8.0,0.503,3,D,46.97,0.3106,31.06,0.3089,30.89,0.3333,33.33,Deep Focus Learner,0.35,35.0,33.85,0,64,908,E,42.08,132,25,221.48,15670,9
42,11.05,100.88,48.66,27.4,0.6374,4,B+,66.91,0.4501,45.01,0.47,47.0,0.3676,36.76,Consistent Climber,0.6,60.0,52.41,0,70,909,B,62.26,351,64,707.23,15671,7
23,13.74,139.62,28.85,22.58,0.5859,2,E,42.0,0.2833,28.33,0.3438,34.38,0.2143,21.43,Fresh Starter,0.15,15.0,40.0,0,66,910,D,45.73,120,23,316.1,15672,9
22,8.35,96.37,36.5,36.36,0.5758,2,E,41.38,0.3333,33.33,0.2857,28.57,0.4194,41.94,Fresh Starter,0.4,40.0,42.08,1,54,911,D,47.15,87,22,183.75,15673,7
39,15.94,148.62,74.04,48.74,0.9017,3,A+,97.15,0.6644,66.44,0.7515,75.15,0.5476,54.76,High Achiever,0.45,45.0,78.33,7,90,912,A,88.75,295,52,828.93,15674,1
45,17.57,181.09,66.86,48.75,0.8417,5,A,87.98,0.6134,61.34,0.7041,70.41,0.5792,57.92,Consistent Climber,0.5,50.0,78.73,6,54,913,A-,78.56,357,69,1212.18,15675,3
47,16.12,151.91,69.71,50.36,0.8285,5,A,86.71,0.635,63.5,0.7035,70.35,0.5584,55.84,High Achiever,0.7,70.0,77.32,4,86,914,A,87.22,326,58,935.18,15676,1
14,8.64,77.82,10.93,0.0,0.3199,2,G,25,0.1233,12.33,0.1127,11.27,0.5,50.0,Fresh Starter,0.1,10.0,13.16,0,21,915,G,20,73,14,120.9,15677,10
43,12.0,109.04,60.9,26.89,0.7899,5,A-,78.48,0.5,50.0,0.538,53.8,0.3378,33.78,Consistent Climber,0.65,65.0,56.47,3,82,916,A-,71.06,390,71,852.28,15678,5
41,10.28,101.91,27.17,9.43,0.4725,5,E,42.62,0.2267,22.67,0.2167,21.67,0.2537,25.37,Flexible Learner,0.2,20.0,30.89,0,82,917,E,43.79,247,50,513.88,15679,13
24,11.82,138.18,30.47,8.89,0.4224,2,G,36.01,0.2683,26.83,0.2651,26.51,0.2705,27.05,Weekend Learner,0.2,20.0,35.9,0,66,918,D,45.68,205,47,555.52,15680,13
24,13.35,158.33,30.73,10.17,0.5552,2,C,50.3,0.2337,23.37,0.1806,18.06,0.2679,26.79,Weekend Learner,0.2,20.0,41.61,0,54,919,E,42.71,184,42,560.78,15681,10
21,9.32,85.59,22.35,14.29,0.4468,2,G,37.45,0.2512,25.12,0.2353,23.53,0.3171,31.71,Weekend Learner,0.3,30.0,29.21,0,66,920,G,35.89,211,40,372.75,15682,15
34,10.83,108.17,61.81,40.43,0.7258,4,A-,72.88,0.5767,57.67,0.621,62.1,0.4923,49.23,Flexible Learner,0.8,80.0,67.13,3,66,921,A-,75.03,189,38,411.37,15683,4
20,13.76,136.63,45.76,24.49,0.6274,2,C+,58.49,0.4011,40.11,0.4783,47.83,0.3176,31.76,Weekend Learner,0.6,60.0,46.35,1,66,922,C,52.84,177,34,467.68,15684,8
42,11.86,110.71,50.9,36.11,0.7077,5,A-,70.43,0.4853,48.53,0.5244,52.44,0.3279,32.79,Consistent Climber,0.55,55.0,54.63,0,90,923,B+,66.64,307,56,664.18,15685,7
20,15.36,139.6,40.28,12.82,0.5299,3,E,42.54,0.319,31.9,0.4058,40.58,0.1915,19.15,Fresh Starter,0.3,30.0,40.08,2,42,924,E,43.98,116,20,307.13,15686,8
11,10.52,114.42,19.25,0.0,0.3301,1,G,25,0.16,16.0,0.1724,17.24,0.1429,14.29,Fresh Starter,0.1,10.0,19.23,0,32,925,G,23.04,50,11,115.73,15687,7
39,12.84,128.58,38.05,15.94,0.5934,5,C,54.87,0.315,31.5,0.3924,39.24,0.1875,18.75,Flexible Learner,0.4,40.0,41.02,1,66,926,D,49.99,254,50,641.87,15688,12
21,15.82,189.07,53.76,42.59,0.7091,2,B+,66.45,0.5333,53.33,0.8,80.0,0.4235,42.35,Deep Focus Learner,0.25,25.0,65.5,1,66,927,B+,68.17,120,27,427.1,15689,3
28,9.51,82.02,50.33,23.53,0.5744,5,C+,55.98,0.4649,46.49,0.4465,44.65,0.5769,57.69,Flexible Learner,0.6,60.0,53.66,2,54,928,B,60.15,185,33,313.83,15690,5
16,11.3,109.05,33.49,13.33,0.5255,2,D,47.65,0.2955,29.55,0.2981,29.81,0.2857,28.57,Weekend Learner,0.25,25.0,34.32,0,84,929,E,44.26,132,25,282.43,15691,9
31,18.13,181.07,47.47,32.26,0.7691,4,A-,74.88,0.4315,43.15,0.4559,45.59,0.4186,41.86,Flexible Learner,0.75,75.0,66.5,0,54,930,B,63.6,197,36,652.78,15692,8
18,11.09,102.53,32.7,4.76,0.5036,2,E,44.61,0.2804,28.04,0.3012,30.12,0.2083,20.83,Deep Focus Learner,0.1,10.0,32.09,0,39,931,G,35.67,107,20,221.78,15693,8
19,15.97,135.65,35.66,10.81,0.4899,2,G,37.43,0.3193,31.93,0.4247,42.47,0.1522,15.22,Fresh Starter,0.25,25.0,38.01,0,44,932,E,42.45,119,19,303.45,15694,7
40,12.31,117.6,34.48,9.09,0.4962,5,E,43.29,0.2519,25.19,0.2975,29.75,0.1852,18.52,Flexible Learner,0.25,25.0,33.67,1,94,933,D,47.92,266,50,615.62,15695,11
35,13.93,142.47,27.72,22.95,0.4724,4,D,45.33,0.2642,26.42,0.31,31.0,0.2232,22.32,Flexible Learner,0.3,30.0,33.51,0,58,934,E,40.56,212,42,585.15,15696,14
45,11.2,113.42,62.97,37.78,0.7611,5,A-,74.39,0.573,57.3,0.5855,58.55,0.5492,54.92,Consistent Climber,0.5,50.0,71.11,3,70,935,A-,77.05,356,72,806.48,15697,6
24,12.79,115.52,41.0,27.78,0.5585,3,D,49.07,0.3949,39.49,0.4831,48.31,0.1282,12.82,Deep Focus Learner,0.5,50.0,41.44,0,42,936,D,47.56,157,27,345.42,15698,8
23,12.27,115.44,60.96,41.86,0.7571,2,A-,72.82,0.5472,54.72,0.6225,62.25,0.24,24.0,Weekend Learner,0.65,65.0,61.27,3,66,937,A-,72.73,254,47,576.53,15699,5
22,12.34,114.62,32.84,22.58,0.4244,2,G,39.95,0.3227,32.27,0.3484,34.84,0.2615,26.15,Weekend Learner,0.35,35.0,37.52,0,78,938,D,48.35,220,40,493.5,15700,14
45,14.32,153.2,42.28,33.78,0.5702,7,C+,57.57,0.3579,35.79,0.4211,42.11,0.3121,31.21,Flexible Learner,0.3,30.0,47.1,0,78,939,C+,55.5,271,55,787.68,15701,11
19,11.68,100.84,45.35,38.1,0.6088,3,D,48.45,0.4037,40.37,0.3977,39.77,0.4286,42.86,Fresh Starter,0.45,45.0,45.52,0,64,940,C+,55.29,109,19,221.92,15702,6
53,11.01,103.29,68.29,50.78,0.8116,5,A,81.42,0.6388,63.88,0.6646,66.46,0.5412,54.12,High Achiever,0.8,80.0,72.23,5,74,941,A-,77.32,407,76,837.1,15703,1
21,11.53,101.93,57.66,33.33,0.691,2,B,61.81,0.5486,54.86,0.6091,60.91,0.35,35.0,Weekend Learner,0.65,65.0,58.18,2,42,942,B,62.1,257,46,530.6,15704,4
24,10.26,97.89,26.91,8.0,0.4389,2,E,42.15,0.2763,27.63,0.3027,30.27,0.1628,16.28,Weekend Learner,0.15,15.0,30.83,0,90,943,E,44.14,228,44,451.45,15705,14
16,10.36,85.66,27.89,14.29,0.4059,2,G,30.23,0.2128,21.28,0.2247,22.47,0.0,0.0,Fresh Starter,0.2,20.0,20.5,0,48,944,G,30.07,94,16,165.73,15706,7
25,15.01,132.11,54.23,33.33,0.7066,2,B+,68.09,0.4955,49.55,0.543,54.3,0.3944,39.44,Weekend Learner,0.65,65.0,58.95,2,54,945,B,63.17,222,37,555.52,15707,5
40,13.13,137.45,56.38,37.68,0.6818,4,B+,65.24,0.5112,51.12,0.5586,55.86,0.4643,46.43,Flexible Learner,0.55,55.0,62.73,4,78,946,B+,68.63,223,45,591.05,15708,6
27,9.71,91.88,47.19,27.27,0.6431,3,C+,57.2,0.3904,39.04,0.4016,40.16,0.3158,31.58,Deep Focus Learner,0.4,40.0,35.88,2,58,947,C,51.38,146,28,271.78,15709,8
29,12.88,111.32,66.54,62.12,0.8036,3,A-,76.58,0.6146,61.46,0.6025,60.25,0.6591,65.91,Deep Focus Learner,0.85,85.0,71.43,4,66,948,A-,78.9,205,35,450.93,15710,2
50,13.04,124.4,58.35,36.67,0.759,5,A-,75.75,0.5605,56.05,0.582,58.2,0.5235,52.35,Consistent Climber,0.5,50.0,68.7,2,98,949,A-,79.38,405,75,978.2,15711,4
37,11.18,103.44,40.32,26.87,0.5818,4,B,63.25,0.4044,40.44,0.4286,42.86,0.2917,29.17,Consistent Climber,0.55,55.0,45.91,0,42,950,D,48.36,272,50,559.0,15712,12
9,9.98,109.92,33.61,25.0,0.5472,2,E,43.17,0.3421,34.21,0.2667,26.67,0.3913,39.13,Fresh Starter,0.4,40.0,43.28,1,25,951,E,44.11,38,9,89.83,15713,6
38,10.0,95.26,71.11,55.13,0.8349,5,A,83.32,0.6508,65.08,0.6652,66.52,0.6118,61.18,Consistent Climber,0.4,40.0,73.97,5,54,952,A,82.75,315,62,619.95,15714,1
23,12.19,103.55,37.1,19.61,0.4952,3,D,46.51,0.3298,32.98,0.3505,35.05,0.2647,26.47,Weekend Learner,0.4,40.0,38.59,0,42,953,E,42.67,282,47,572.82,15715,13
29,12.27,148.99,55.13,29.03,0.6626,4,B+,68.55,0.5185,51.85,0.5352,53.52,0.5085,50.85,Consistent Climber,0.5,50.0,67.47,2,54,954,A-,70.28,189,45,552.25,15716,7
24,14.38,143.53,31.39,23.08,0.5516,2,D,49.54,0.3088,30.88,0.3894,38.94,0.2212,22.12,Weekend Learner,0.35,35.0,40.69,0,66,955,D,46.36,217,42,603.92,15717,11
21,14.21,128.67,40.22,24.24,0.6168,2,C,50.09,0.395,39.5,0.4713,47.13,0.1875,18.75,Fresh Starter,0.35,35.0,42.66,0,54,956,D,48.2,119,21,298.4,15718,6
18,12.46,129.76,51.76,12.9,0.5972,2,C+,55.7,0.4454,44.54,0.5161,51.61,0.3684,36.84,Weekend Learner,0.5,50.0,51.29,2,39,957,C,54.13,119,24,299.05,15719,6
28,14.38,163.93,33.11,32.61,0.6707,3,B,61.96,0.3688,36.88,0.551,55.1,0.2883,28.83,Deep Focus Learner,0.2,20.0,55.45,0,42,958,C,50.1,160,35,503.3,15720,11
15,8.4,79.97,25.55,7.14,0.5898,2,E,42.89,0.274,27.4,0.2985,29.85,0.0,0.0,Fresh Starter,0.1,10.0,31.02,0,22,959,G,33.13,73,15,125.98,15721,7
19,9.9,92.61,36.89,29.41,0.5639,2,D,49.35,0.3522,35.22,0.3603,36.03,0.3043,30.43,Weekend Learner,0.25,25.0,39.76,0,76,960,D,49.68,159,31,306.75,15722,7
48,15.62,160.44,67.73,50.68,0.8369,5,A,85.45,0.6277,62.77,0.7051,70.51,0.5727,57.27,Consistent Climber,0.85,85.0,77.69,5,90,961,A,87.78,376,73,1140.12,15723,3
48,10.75,109.92,57.09,43.3,0.7189,5,A-,77.5,0.5368,53.68,0.5709,57.09,0.4622,46.22,Consistent Climber,0.55,55.0,64.28,1,98,962,A-,74.02,380,78,838.58,15724,5
23,13.28,122.27,45.96,35.82,0.7106,2,B+,66.33,0.403,40.3,0.3973,39.73,0.4182,41.82,Weekend Learner,0.6,60.0,55.36,1,66,963,B,62.62,201,36,478.17,15725,9
35,15.58,154.45,68.22,47.78,0.8559,3,A,88.86,0.6299,62.99,0.7429,74.29,0.5625,56.25,Consistent Climber,0.6,60.0,80.25,4,78,964,A,89.0,281,53,825.98,15726,2
54,10.38,92.65,47.99,25.0,0.6683,5,B+,69.23,0.4874,48.74,0.508,50.8,0.3651,36.51,Consistent Climber,0.4,40.0,50.58,0,94,965,B,62.9,437,79,819.63,15727,9
23,14.07,129.11,39.38,21.95,0.6364,4,B,60.52,0.3561,35.61,0.4227,42.27,0.1714,17.14,Deep Focus Learner,0.4,40.0,47.63,1,54,966,C,50.09,132,23,323.7,15728,10
42,11.09,100.65,47.51,26.83,0.5845,5,B,62.85,0.4157,41.57,0.4128,41.28,0.4286,42.86,Consistent Climber,0.6,60.0,50.19,0,98,967,B,63.43,344,63,698.72,15729,9
21,13.07,128.72,42.02,25.58,0.5101,2,C,50.25,0.4341,43.41,0.4685,46.85,0.3803,38.03,Weekend Learner,0.5,50.0,50.88,1,30,968,C,50.35,182,35,457.37,15730,9
11,7.76,74.43,57.02,44.44,0.5744,2,D,47.57,0.5098,50.98,0.5098,50.98,0.0,0,Fresh Starter,0.5,50.0,50.98,1,16,969,C,54.14,51,11,85.32,15731,3
29,13.23,176.9,30.92,14.89,0.4734,4,E,43.85,0.3185,31.85,0.3878,38.78,0.2791,27.91,Flexible Learner,0.5,50.0,42.0,0,54,970,E,44.0,135,35,462.92,15732,9
44,10.05,86.82,57.65,44.0,0.6733,5,B+,67.3,0.5084,50.84,0.5181,51.81,0.45,45.0,Consistent Climber,0.45,45.0,56.51,0,78,971,B+,68.04,419,74,743.63,15733,3
19,20.29,200.33,48.78,28.04,0.744,2,A-,71.79,0.4091,40.91,0.4225,42.25,0.4027,40.27,Weekend Learner,0.55,55.0,62.97,1,52,972,B,62.03,220,40,811.72,15734,8
22,17.25,177.72,58.55,34.38,0.8075,3,A-,78.1,0.4931,49.31,0.5185,51.85,0.4778,47.78,Deep Focus Learner,0.3,30.0,70.25,3,70,973,A-,75.89,144,28,482.97,15735,5
53,12.37,109.78,70.94,50.0,0.7928,6,A,80.21,0.6229,62.29,0.6349,63.49,0.5865,58.65,High Achiever,0.75,75.0,70.3,5,98,974,A,87.17,419,73,903.15,15736,2
31,15.88,156.06,42.18,19.35,0.534,4,D,48.58,0.2881,28.81,0.3333,33.33,0.2308,23.08,Flexible Learner,0.2,20.0,37.47,1,78,975,D,49.86,177,33,523.97,15737,7
30,13.0,117.6,49.4,24.59,0.6108,4,C,54.72,0.3697,36.97,0.4125,41.25,0.2353,23.53,Flexible Learner,0.6,60.0,42.16,2,90,976,B,60.67,211,38,493.87,15738,8
23,11.39,89.47,20.73,10.34,0.3668,2,G,25,0.1633,16.33,0.1719,17.19,0.1053,10.53,Fresh Starter,0.2,20.0,19.09,0,54,977,G,30.57,147,23,261.98,15739,9
31,13.12,123.46,50.84,34.62,0.6491,4,B+,69.25,0.502,50.2,0.5183,51.83,0.4719,47.19,Consistent Climber,0.55,55.0,61.98,1,86,978,A-,70.8,253,46,603.48,15740,7
26,11.43,107.41,36.31,18.92,0.4974,3,D,49.13,0.3355,33.55,0.3739,37.39,0.2162,21.62,Deep Focus Learner,0.35,35.0,36.23,0,54,979,E,44.75,152,29,331.37,15741,9
24,13.27,153.61,38.07,10.26,0.4829,3,D,45.16,0.3435,34.35,0.4151,41.51,0.2949,29.49,Deep Focus Learner,0.05,5.0,43.38,2,66,980,C,50.35,131,30,398.02,15742,8
19,14.6,137.26,32.16,11.43,0.4464,3,G,30.89,0.3143,31.43,0.3784,37.84,0.1613,16.13,Fresh Starter,0.3,30.0,32.81,0,40,981,G,37.55,105,19,277.35,15743,9
31,10.83,109.24,48.59,26.19,0.6054,3,C+,55.98,0.3851,38.51,0.4427,44.27,0.2093,20.93,Flexible Learner,0.6,60.0,40.91,2,42,982,D,49.56,174,35,378.92,15744,7
30,13.56,132.97,56.52,32.31,0.754,3,A-,73.66,0.5179,51.79,0.5303,53.03,0.4921,49.21,Flexible Learner,0.5,50.0,65.09,2,54,983,B+,69.27,195,37,501.87,15745,5
42,14.42,147.06,57.62,45.83,0.8008,5,A-,79.79,0.5652,56.52,0.5938,59.38,0.5405,54.05,Consistent Climber,0.55,55.0,74.17,2,98,984,A,82.07,345,68,980.32,15746,5
27,10.82,91.76,37.88,25.58,0.5528,4,C,53.38,0.4107,41.07,0.4079,40.79,0.4375,43.75,Deep Focus Learner,0.25,25.0,44.92,0,42,985,D,48.55,168,29,313.7,15747,10
18,13.04,115.61,50.68,37.5,0.6546,2,C+,59.62,0.4521,45.21,0.4757,47.57,0.3953,39.53,Weekend Learner,0.4,40.0,48.45,2,27,986,D,49.93,146,25,326.07,15748,5
25,18.33,186.16,47.09,26.67,0.7132,2,B+,67.32,0.422,42.2,0.5179,51.79,0.3761,37.61,Deep Focus Learner,0.65,65.0,57.47,0,66,987,B,61.94,173,33,604.98,15749,5
44,12.33,111.4,73.33,50.89,0.8502,4,A,88.35,0.6919,69.19,0.7276,72.76,0.5658,56.58,Consistent Climber,0.7,70.0,74.87,7,98,988,A,87.33,344,61,752.05,15750,1
40,16.51,172.3,50.71,27.06,0.6447,9,B,62.83,0.4238,42.38,0.3919,39.19,0.4359,43.59,Flexible Learner,0.5,50.0,61.78,2,42,989,B,60.31,269,53,875.03,15751,8
39,10.28,86.76,62.87,39.34,0.7364,4,B+,69.03,0.5825,58.25,0.5746,57.46,0.614,61.4,Flexible Learner,0.4,40.0,64.88,3,82,990,A-,75.85,285,48,493.62,15752,3
35,9.31,95.67,61.06,31.58,0.6638,3,B,60.06,0.5315,53.15,0.5779,57.79,0.4265,42.65,Flexible Learner,0.5,50.0,57.09,3,74,991,B+,69.22,222,47,437.7,15753,5
47,11.08,100.55,42.67,22.78,0.6581,5,B+,67.0,0.375,37.5,0.403,40.3,0.2456,24.56,Consistent Climber,0.35,35.0,43.43,1,98,992,C+,57.17,320,58,642.63,15754,13
9,9.97,99.57,32.54,25.0,0.4596,1,G,32.34,0.3261,32.61,0.2857,28.57,0.4545,45.45,Fresh Starter,0.3,30.0,39.43,1,25,993,E,41.14,46,9,89.75,15755,6
22,13.62,144.19,34.93,21.74,0.5327,3,E,41.23,0.3333,33.33,0.4359,43.59,0.2754,27.54,Fresh Starter,0.3,30.0,42.51,0,46,994,E,44.73,108,22,299.72,15756,9
24,13.7,141.05,26.8,8.47,0.519,2,D,46.89,0.2564,25.64,0.2655,26.55,0.2479,24.79,Weekend Learner,0.2,20.0,37.6,0,78,995,E,44.08,234,46,630.37,15757,9
32,12.31,135.25,27.43,6.82,0.4772,5,E,42.81,0.2582,25.82,0.2842,28.42,0.2299,22.99,Flexible Learner,0.25,25.0,32.02,0,66,996,G,37.29,182,40,492.45,15758,14
38,15.18,140.89,60.44,40.91,0.7649,5,A-,73.68,0.5464,54.64,0.6205,62.05,0.448,44.8,Flexible Learner,0.8,80.0,66.62,2,100,997,A-,77.06,291,51,774.43,15759,5
26,11.22,103.92,58.6,37.78,0.7006,3,B,64.51,0.5276,52.76,0.5538,55.38,0.4242,42.42,Deep Focus Learner,0.7,70.0,58.08,2,30,998,B,61.32,163,30,336.58,15760,4
20,11.44,107.67,51.87,30.43,0.701,2,B,63.6,0.4457,44.57,0.4631,46.31,0.3714,37.14,Weekend Learner,0.35,35.0,49.02,1,78,999,B,60.45,184,35,400.4,15761,5
17,12.43,119.44,50.07,30.43,0.7263,2,B+,65.94,0.5263,52.63,0.6034,60.34,0.4054,40.54,Deep Focus Learner,0.4,40.0,61.13,1,65,1000,B,63.79,95,18,223.65,15762,4
22,11.1,108.71,42.39,32.26,0.5942,6,C+,56.11,0.4065,40.65,0.4111,41.11,0.3939,39.39,Deep Focus Learner,0.5,50.0,50.67,1,30,1001,D,48.84,123,24,266.45,15763,7
35,12.24,106.01,49.43,32.31,0.6317,4,C+,59.62,0.461,46.1,0.4481,44.81,0.5088,50.88,Flexible Learner,0.4,40.0,55.07,2,66,1002,B,63.07,269,46,563.1,15764,9
14,13.35,156.19,16.75,7.14,0.3675,3,G,25,0.1452,14.52,0.1333,13.33,0.1489,14.89,Fresh Starter,0.15,15.0,26.52,0,21,1003,G,24.37,62,14,186.88,15765,8
17,13.01,135.29,44.34,32.56,0.665,2,B,60.69,0.373,37.3,0.3425,34.25,0.4151,41.51,Weekend Learner,0.35,35.0,49.04,1,25,1004,D,49.07,126,25,325.28,15766,9
29,9.57,81.34,55.59,37.5,0.6931,3,B+,69.84,0.5431,54.31,0.5412,54.12,0.5556,55.56,Flexible Learner,0.3,30.0,59.27,1,54,1005,B+,65.32,197,35,335.08,15767,3
32,11.75,104.86,43.59,20.83,0.5934,5,C+,55.08,0.4163,41.63,0.4074,40.74,0.4366,43.66,Flexible Learner,0.75,75.0,50.77,0,42,1006,C,52.2,233,41,481.78,15768,10
24,11.86,124.43,39.67,17.39,0.6612,2,B,61.21,0.3762,37.62,0.4141,41.41,0.3108,31.08,Weekend Learner,0.4,40.0,52.63,0,54,1007,C,54.22,202,42,498.0,15769,11
52,10.97,107.68,63.78,44.9,0.7848,5,A-,78.94,0.5817,58.17,0.5978,59.78,0.5489,54.89,High Achiever,0.5,50.0,66.69,4,94,1008,A-,79.14,404,79,866.88,15770,5
15,11.16,116.51,58.34,21.62,0.7126,2,B+,69.62,0.5614,56.14,0.6125,61.25,0.4412,44.12,Weekend Learner,0.4,40.0,59.97,1,58,1009,B+,67.52,114,24,267.85,15771,2
42,13.28,130.64,51.52,30.49,0.671,5,B,63.09,0.4757,47.57,0.5254,52.54,0.3964,39.64,Flexible Learner,0.65,65.0,61.01,2,78,1010,B+,67.73,288,55,730.13,15772,8
44,11.52,115.82,48.29,19.28,0.5924,5,C+,59.72,0.4062,40.62,0.4453,44.53,0.3021,30.21,Consistent Climber,0.3,30.0,45.87,1,98,1011,B,62.8,352,71,818.27,15773,8
41,9.02,80.56,49.64,33.33,0.6357,4,B+,65.29,0.4569,45.69,0.4521,45.21,0.4889,48.89,Consistent Climber,0.55,55.0,52.08,1,54,1012,C+,56.7,348,65,586.43,15774,8
36,11.78,133.24,56.96,28.85,0.6749,4,A-,72.58,0.4826,48.26,0.6091,60.91,0.3667,36.67,Consistent Climber,0.4,40.0,53.68,2,98,1013,B+,66.77,230,52,612.52,15775,6
26,12.47,146.45,47.12,25.53,0.6747,4,B,62.08,0.4286,42.86,0.5256,52.56,0.3373,33.73,Flexible Learner,0.35,35.0,51.66,0,42,1014,C+,55.26,161,37,461.4,15776,6
15,11.46,103.0,49.76,27.78,0.7232,2,B,64.21,0.4758,47.58,0.5283,52.83,0.1667,16.67,Weekend Learner,0.6,60.0,49.29,2,34,1015,C,51.36,124,22,252.22,15777,6
